"component_id";"component_type";"component_name";"page_id";"role_id";"is_active"
44286306349494715;"ITEM";"P110_SOURCE_SWIMLANE";110;"";""
44286437803494716;"ITEM";"P110_SOURCE_CLIENT";110;"ADMIN";"Y"
44286437803494716;"ITEM";"P110_SOURCE_CLIENT";110;"DEFAULT_USER";"Y"
44286437803494716;"ITEM";"P110_SOURCE_CLIENT";110;"";""
44286502131494717;"ITEM";"P110_SOURCE_PROJECT";110;"ADMIN";"Y"
44286502131494717;"ITEM";"P110_SOURCE_PROJECT";110;"DEFAULT_USER";"Y"
44286502131494717;"ITEM";"P110_SOURCE_PROJECT";110;"";""
44286665614494718;"ITEM";"P110_SOURCE_BOARD";110;"ADMIN";"Y"
44286665614494718;"ITEM";"P110_SOURCE_BOARD";110;"DEFAULT_USER";"Y"
44286665614494718;"ITEM";"P110_SOURCE_BOARD";110;"";""
44287004908494722;"ITEM";"P110_CLIENT_ID";110;"ADMIN";"Y"
44287004908494722;"ITEM";"P110_CLIENT_ID";110;"DEFAULT_USER";"Y"
44287004908494722;"ITEM";"P110_CLIENT_ID";110;"";""
44287133015494723;"ITEM";"P110_PROJECT_ID";110;"ADMIN";"Y"
44287133015494723;"ITEM";"P110_PROJECT_ID";110;"DEFAULT_USER";"Y"
44287133015494723;"ITEM";"P110_PROJECT_ID";110;"";""
44287282406494724;"ITEM";"P110_BOARD_ID";110;"ADMIN";"Y"
44287282406494724;"ITEM";"P110_BOARD_ID";110;"DEFAULT_USER";"Y"
44287282406494724;"ITEM";"P110_BOARD_ID";110;"";""
44287369760494725;"ITEM";"P110_STATUS_ID";110;"ADMIN";"Y"
44287369760494725;"ITEM";"P110_STATUS_ID";110;"DEFAULT_USER";"Y"
44287369760494725;"ITEM";"P110_STATUS_ID";110;"";""
44287496487494726;"ITEM";"P110_SWIMLANE_ID";110;"ADMIN";"Y"
44287496487494726;"ITEM";"P110_SWIMLANE_ID";110;"DEFAULT_USER";"Y"
44287496487494726;"ITEM";"P110_SWIMLANE_ID";110;"";""
45281063417457925;"PROCESS";"&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; <span class=""fa fa-play-circle"" style=""color: #555; margin: 0.125rem 0.5rem 0 0;""></span>PROCESS_BULK_TASK_FILTERS";110;"ADMIN";"Y"
45281063417457925;"PROCESS";"&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; <span class=""fa fa-play-circle"" style=""color: #555; margin: 0.125rem 0.5rem 0 0;""></span>PROCESS_BULK_TASK_FILTERS";110;"DEFAULT_USER";"Y"
45281481702457929;"PROCESS";"<span class=""fa fa-play-circle"" style=""color: #555; margin: 0.125rem 0.5rem 0 0;""></span>PROCESS_BULK_REQUEST";110;"ADMIN";"Y"
